Khan,0,Ajman University
Aalst,0,RWTH Aachen University
Aaronson,4,University of Texas at Austin
Abebe,0,"University of California, Berkeley"
Abelson,1,Massachusetts Institute of Technology
Abiteboul,4,INRIA
Abramsky,4,University of Oxford
Adleman,2,University of Southern California
Agrawal,8,Indian Institute of Technology Kanpur
Ahn,3,Carnegie Mellon University
Aho,5,Columbia University
Allen,6,IBM
Amdahl,4,Thesis
Anderson,5,"University of California, Berkeley"
Anthony,0,
Appel,0,
Aragon,4,University of Washington
Arden,0,
Jones,0,
Arora,0,Princeton University
Asprey,0,
Atanasoff,17,
Atre,0,
Babbage,2,"Trinity College, Cambridge"
Bachman,5,Dow Chemical
Backhouse,0,Royal Aircraft Establishment
Backus,9,IBM
Bacon,3,IBM Watson Research Center
Bader,1,New Jersey Institute of Technology
Bahl,0,Microsoft
Barr,0,
Bartik,3,
Barto,2,University of Massachusetts Amherst
Bauer,0,University of Mainz
Bayer,1,Technical University Munich
Bell,3,DEC
Bellovin,0,
Berdichevsky,0,
Berners-Lee,8,CERN
Bernstein,0,University of Illinois at Chicago
Bernus,0,
Bhushan,0,
Bjørner,6,Technical University of Denmark
Blaauw,0,
Black,5,University College London
Blei,4,Princeton University
Blum,0,
Blum,3,
Blum,5,"University of California, Berkeley"
Boehm,0,
Böhm,0,"University of Rome ""La Sapienza"""
Bollacker,0,
Bonwick,0,
Booch,2,IBM
Boole,0,Lincoln Mechanics' Institute
Booth,0,Birkbeck College
Booth,0,Birkbeck College
Borg,0,Nixdorf Computer
Bos,0,
Botvinnik,0,
Bowen,12,Museophile Limited
Bourne,1,Bell Labs
Bouwman,0,
Boyer,0,
Brandenburg,0,Fraunhofer Society
Brassard,3,Université de Montréal
Breed,2,IBM
Bresenham,0,
Brin,0,
Brown,0,
Hansen,1,Regnecentralen
Brinkkemper,0,
Brooks,5,IBM
Brooks,12,Stanford University
Burnett,0,
Butler,0,University of Southampton
Gil,0,University of La Laguna
Camp,2,Colorado School of Mines
Campbell-Kelly,0,University of Warwick
Candlin,0,
Canion,0,
Cantrill,0,
Cardelli,3,Bell Labs
Carmack,0,
Caspersen,7,Aarhus U.
Catmull,4,New York Institute of Technology
Cerf,12,IBM
Chaitin,0,Mohammed VI Polytechnic University
Cailliau,0,
Chaochen,1,Peking University
Chen,15,Carnegie Mellon University
Chiariglione,0,
Chou,0,
Church,0,Princeton University
Ciaramella,0,
Clarke,4,Carnegie Mellon University
Cocke,4,IBM
Codd,5,University of Oxford
Cohen,0,
Coldwater,0,
Colton,0,"Imperial College, London"
Colmerauer,0,
Comer,0,
Compton,0,
Conway,2,Cornell University
Cormack,0,
Cook,8,University of Toronto
Cooley,0,
Cooper,0,
Corbató,8,Massachusetts Institute of Technology
Cosper,0,
Cousot,0,
Cox,4,University College London
Cray,0,Engineering Research Associates
Cristianini,4,University of Bath
Crowcroft,3,University of Cambridge
Croft,0,
Culler,2,"University of California, Santa Barbara"
Curry,0,Pennsylvania State University
Dadda,0,
Dahl,11,Norwegian Computing Center
Dahl,0,
Dam,0,
Das,0,Stony Brook University
Daswani,0,
Date,0,
Davis,0,
Dean,0,Google
Demaine,2,Massachusetts Institute of Technology
DeMarco,10,Bell Labs
DeMillo,0,
Denning,4,Naval Postgraduate School
Denning,6,MIT
Dertouzos,0,
Dewdney,0,
Dewar,0,Illinois Institute of Technology
Dham,0,
Dietz,0,
Diffie,6,Stanford University
Dijkstra,5,Mathematisch Centrum
Dillon,0,
Dix,0,
Dongarra,15,University of Tennessee
Dorigo,0,
Dourish,0,
Draper,5,Massachusetts Institute of Technology
Dumais,1,Microsoft Research
Dunkels,0,Swedish Institute of Computer Science
Dunn,2,Wayne State University
Dustdar,0,
Eades,0,
Easley,0,
Ebbinkhuijsen,0,
Eckert,1,
Edelman,3,MIT
Eich,0,
Emeagwali,0,
Emerson,2,UT Austin
Engelbart,6,SRI International
Engelhardt,6,Princeton University
